750-67-8428,A,Yangon,\Member,Female,Health and beauty,74.69,7,26.1415,548,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,C,Naypyitaw,$Normal,Female,Electronic accessories,15.28,5,3.82,802,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,B,Yangon,&Normal,Male,Home and lifestyle,46.33,7,16.2155,340,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,$Member,Male,Health and beauty,58.22,8,23.288,48904,2/6/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,B,Yangon,$Normal,Male,Sports and travel,86.31,7,30.2085,634,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,&Normal,Male,Electronic accessories,85.39,7,29.8865,627,1/1/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,\Member,Female,Electronic accessories,68.84,6,20.652,433,1/2/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,\Normal,Female,Home and lifestyle,73.56,10,36.78,772,2/7/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,A,Yangon,$Member,Female,Health and beauty,36.26,2,anyfgh,72,2/8/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,B,Mandalay,\Member,Female,Food and beverages,54.84,3,8.226,172,2/9/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
